Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

01:37:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:13 AM     all     19.97      0.00      3.29      0.00      0.00     76.74
01:39:13 AM     all     10.74      0.00      1.75      0.00      0.00     87.51
01:40:13 AM     all      5.69      0.00      1.47      0.00      0.00     92.84
01:41:13 AM     all      5.79      0.00      1.03      0.00      0.00     93.18
01:42:13 AM     all      5.76      0.00      1.03      0.00      0.00     93.21
01:43:13 AM     all      4.82      0.00      2.14      0.00      0.00     93.05
01:44:13 AM     all      5.96      0.00      0.40      0.00      0.00     93.64
01:45:13 AM     all     30.34      0.00      4.38      0.00      0.00     65.27
01:46:13 AM     all     22.02      0.00      1.73      0.00      0.00     76.25
01:47:13 AM     all     11.86      0.00      0.54      0.00      0.00     87.60
01:48:13 AM     all      7.50      0.00      0.54      0.00      0.00     91.96
