# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416271093;38538752;225985672;85.43;455416;22549452;207527812;76.04
axle;60;1416271153;36526068;227998356;86.19;455448;24562308;207518264;76.04
axle;60;1416271213;36519652;228004772;86.19;455468;24564064;207518264;76.04
axle;60;1416271273;36520188;228004236;86.19;455484;24565588;207518264;76.04
axle;60;1416271333;36516440;228007984;86.20;455500;24567612;207518264;76.04
axle;60;1416271393;34668512;229855912;86.89;455524;24569756;209409044;76.73
axle;60;1416271453;34669076;229855348;86.89;455560;24571460;209408988;76.73
axle;60;1416271513;26237680;238286744;90.08;455588;24582068;217818140;79.81
axle;60;1416271573;32288500;232235924;87.79;455620;24587384;211737560;77.59
axle;60;1416271633;32290772;232233652;87.79;455640;24590196;211737560;77.59
axle;60;1416271693;34656960;229867464;86.90;455656;24591768;209361016;76.71
