# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416271777;30718096;233806328;88.39;456016;30070160;207864684;76.17
axle;60;1416271837;28674516;235849908;89.16;456068;32418600;207508624;76.04
axle;60;1416271897;24886364;239638060;90.59;456132;35788824;207938076;76.19
axle;60;1416271957;25068560;239455864;90.52;456156;35908228;207637116;76.08
axle;60;1416272017;25132056;239392368;90.50;456196;35910184;207556692;76.05
axle;60;1416272077;25005140;239519284;90.55;456260;35911680;207694772;76.10
axle;60;1416272137;24053508;240470916;90.91;456332;36239224;208312632;76.33
axle;60;1416272197;23549568;240974856;91.10;456408;37559580;207505560;76.03
axle;60;1416272257;23534400;240990024;91.10;456424;37561012;207505560;76.03
axle;60;1416272317;21380728;243143696;91.92;456480;39573840;207661356;76.09
axle;60;1416272377;19551596;244972828;92.61;456520;40352696;208702152;76.47
