# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416272601;-84318.93;1.62;41574.45
axle;59;1416272661;6356.32;0.34;-6180.52
axle;59;1416272721;-10995.20;0.37;4125.89
axle;59;1416272781;2418.45;0.29;-1447.05
axle;60;1416272841;6616.92;0.35;-1296.56
axle;59;1416272901;5210.39;0.25;-878.92
axle;60;1416272961;-4733.27;0.42;2540.08
axle;59;1416273021;-20937.90;0.25;-2267.35
axle;59;1416273081;32915.49;0.34;121.35
axle;59;1416273141;-5247.78;0.37;1400.20
axle;60;1416273201;-10582.22;0.29;-1128.98
axle;60;1416273261;1458.83;0.37;774.56
axle;59;1416273321;13187.05;0.39;-544.52
axle;59;1416273381;-4685.87;0.35;176.45
axle;59;1416273441;-12223.34;0.35;127.19
axle;60;1416273501;3837.93;0.27;139.66
axle;59;1416273561;4265.74;0.39;131.75
axle;59;1416273621;-9408.14;0.39;97.05
axle;59;1416273681;5885.30;0.44;1158.47
axle;59;1416273741;-12913.90;0.37;-914.91
axle;59;1416273801;55407.67;0.35;924.52
axle;60;1416273861;809.17;0.10;-781.24
axle;60;1416273921;-7.26;0.12;5.44
axle;60;1416273981;1.14;0.08;9.19
axle;60;1416274041;-6.08;0.13;6.08
