# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416272601;0.00;0.00
axle;59;1416272661;0.00;0.00
axle;59;1416272721;0.00;0.00
axle;59;1416272781;0.00;0.00
axle;60;1416272841;0.00;0.00
axle;59;1416272901;0.00;0.00
axle;60;1416272961;0.00;0.00
axle;59;1416273021;0.00;0.00
axle;59;1416273081;0.00;0.00
axle;59;1416273141;0.00;0.00
axle;60;1416273201;0.00;0.00
axle;60;1416273261;0.00;0.00
axle;59;1416273321;0.00;0.00
axle;59;1416273381;0.00;0.00
axle;59;1416273441;0.00;0.00
axle;60;1416273501;0.00;0.00
axle;59;1416273561;0.00;0.00
axle;59;1416273621;0.00;0.00
axle;59;1416273681;0.00;0.00
axle;59;1416273741;0.00;0.00
axle;59;1416273801;0.00;0.00
axle;60;1416273861;0.00;0.00
axle;60;1416273921;0.00;0.00
axle;60;1416273981;0.00;0.00
axle;60;1416274041;0.00;0.00
